URL,id,openDoarId,name,Russell_member,RSE_group,email,uri,uni_sld,homepageUrl,source,ris_software,ris_software_enum,metadataFormat,createdDate,location,logo,type,stats,contains_software_set,Num_sw_records,Error,Manual_Num_sw_records,Category,Notes
chesterrep.openrepository.com/oai/request,19,,ChesterRep,no,no,chesterrep@chester.ac.uk,,chesterrep,https://chesterrep.openrepository.com,,dspace,dspace,oai_dc,2011-05-11T14:48:05+01:00,"{'countryCode': 'gb', 'latitude': 39.768, 'longitude': -104.873}",https://api.core.ac.uk/data-providers/19/logo,REPOSITORY,,No,0,No error,0,Does not contain software,
dspace.lib.cranfield.ac.uk/oai/request,23,,Cranfield CERES,no,no,library@cranfield.ac.uk,,cranfield,http://dspace.lib.cranfield.ac.uk,,dspace,dspace,oai_dc,2011-05-12T19:14:26+01:00,"{'countryCode': 'gb', 'latitude': 52.0739, 'longitude': -0.628753}",https://api.core.ac.uk/data-providers/23/logo,REPOSITORY,,No,0,No error,0,Does not contain software,
derby.openrepository.com/derby/-oai/request,1038,2236,UDORA - University of Derby Online Research Archive,no,no,UDORA@derby.ac.uk,,derby,https://derby.openrepository.com,,dspace,dspace,oai_dc,2016-09-16T10:24:49+01:00,"{'countryCode': 'GB', 'latitude': 52.92253, 'longitude': -1.474618}",https://api.core.ac.uk/data-providers/1038/logo,REPOSITORY,,No,0,No error,2,Contains software,"website not responding, but online repo can be found at https://repository.derby.ac.uk/repository/search?q=type%3A%22software%22"
www.dora.dmu.ac.uk/oai/request,25,,De Montfort University Open Research Archive,no,no,acope@dmu.ac.uk,,dmu,https://www.dora.dmu.ac.uk,,dspace,dspace,oai_dc,2011-05-13T09:01:29+01:00,"{'countryCode': 'gb', 'latitude': 52.6318, 'longitude': -1.1394}",https://api.core.ac.uk/data-providers/25/logo,REPOSITORY,,No sets,0,BadVerbError,0,No direct software search capability,No software search item
discovery.dundee.ac.uk/ws/oai,123,1775,University of Dundee Online Publications,no,no,discovery@dundee.ac.uk,,dundee,http://discovery.dundee.ac.uk,,dspace,dspace,oai_dc,2011-07-07T16:13:07+01:00,"{'countryCode': 'GB', 'latitude': 56.4583, 'longitude': -2.9809}",https://api.core.ac.uk/data-providers/123/logo,REPOSITORY,,No,0,Bad Argument Error,22,Contains software,
eresearch.qmu.ac.uk/dspace-oai/request,91,1228,Queen Margaret University eResearch,no,no,gharvie@qmu.ac.uk,,eqmu/,https://eresearch.qmu.ac.uk/,,dspace,dspace,oai_dc,2011-06-24T12:17:49+01:00,"{'countryCode': 'GB', 'latitude': 55.931742, 'longitude': -3.076927}",https://api.core.ac.uk/data-providers/91/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
uhra.herts.ac.uk/oai/request,125,,University of Hertfordshire Research Archive,no,no,dspace@herts.ac.uk,,herts,http://uhra.herts.ac.uk,,dspace,dspace,oai_dc,2011-07-07T16:13:07+01:00,"{'countryCode': 'gb', 'latitude': 51.75, 'longitude': -0.3333}",https://api.core.ac.uk/data-providers/125/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
opendocs.ids.ac.uk/oai/request,603,2319,IDS OpenDocs,no,no,,,ids,http://opendocs.ids.ac.uk,,dspace,dspace,oai_dc,2013-09-06T14:35:29+01:00,"{'countryCode': 'GB', 'latitude': 50.866, 'longitude': -0.0901}",https://api.core.ac.uk/data-providers/603/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
pearl.plymouth.ac.uk/oai/request,295,2687,Plymouth Electronic Archive and Research Library,no,no,openresearch@plymouth.ac.uk,,plymouth,http://pearl.plymouth.ac.uk,,dspace,dspace,oai_dc,2013-06-27T12:52:22+01:00,"{'countryCode': 'GB', 'latitude': 50.3705, 'longitude': -4.1398}",https://api.core.ac.uk/data-providers/295/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
dspace.stir.ac.uk/oai/request,107,,Stirling Online Research Repository,no,no,library@stir.ac.uk,,stir,https://dspace.stir.ac.uk,,dspace,dspace,oai_dc,2011-07-07T16:11:06+01:00,"{'countryCode': 'gb', 'latitude': 56.1194, 'longitude': -3.93588}",https://api.core.ac.uk/data-providers/107/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
dspace.stir.ac.uk/oai/,10883,,Stirling Online Research Repository (RIOXX),no,no,,,stir/,https://dspace.stir.ac.uk,,dspace,dspace,rioxx,2019-07-19T00:00:00+01:00,"{'countryCode': 'GB', 'latitude': 56.1453567, 'longitude': -3.9205492}",https://api.core.ac.uk/data-providers/10883/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
uobrep.openrepository.com/uobrep/oai/request,654,,University of Bedfordshire Repository,no,no,repository@beds.ac.uk,,uobrep,http://uobrep.openrepository.com,,dspace,dspace,oai_dc,2015-01-20T16:59:20+00:00,"{'countryCode': 'GB', 'latitude': 51.878306, 'longitude': -0.411352}",https://api.core.ac.uk/data-providers/654/logo,REPOSITORY,,No sets,0,BadVerbError,0,Does not contain software,"Type in search bar filter, but �software� gives 0 results"
repository.uwtsd.ac.uk/cgi/oai2,110,1627,University of Wales Trinity Saint David,no,no,anne.harvey@sm.uwtsd.ac.uk,,uwtsd,http://repository.uwtsd.ac.uk,,dspace,dspace,oai_dc,2011-05-14T10:36:07+01:00,"{'countryCode': 'GB', 'latitude': 51.6144, 'longitude': -3.8727}",https://api.core.ac.uk/data-providers/110/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
wlv.openrepository.com/wlv-oai/request,141,589,Wolverhampton Intellectual Repository and E-theses,no,no,wire@wlv.ac.uk,,wlv,http://wlv.openrepository.com,,dspace,dspace,oai_dc,2011-05-27T18:45:03+01:00,"{'countryCode': 'GB', 'latitude': 52.5837, 'longitude': -2.1174}",https://api.core.ac.uk/data-providers/141/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
https://researchportal.bath.ac.uk/en/publications/,82,1378,University of Bath Research Portal,no,yes,opus-support@bath.ac.uk,,bath,http://opus.bath.ac.uk,,eprints,eprints,oai_dc,2011-05-15T10:16:09+01:00,"{'countryCode': 'GB', 'latitude': 51.3815, 'longitude': -2.3278}",https://api.core.ac.uk/data-providers/82/logo,REPOSITORY,,No,0,Bad Argument Error,25,Contains software,
edata.bham.ac.uk/cgi/oai2,14703,,University of Birmingham eData Repository (UBIRA E-Data),yes,yes,,,bham,https://edata.bham.ac.uk,,Eprints 3,eprints,oai_dc,2019-09-30T00:00:00+01:00,"{'countryCode': 'GB', 'latitude': None, 'longitude': None}",https://api.core.ac.uk/data-providers/14703/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
epapers.bham.ac.uk/cgi/oai2,119,1126,"University of Birmingham Research Archive, E-papers Repository",yes,yes,S.Atkins.1@bham.ac.uk,,bham,http://epapers.bham.ac.uk,,eprints,eprints,oai_dc,2011-07-07T16:12:11+01:00,"{'countryCode': 'GB', 'latitude': 52.44899, 'longitude': -1.93085}",https://api.core.ac.uk/data-providers/119/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
eprints.esc.cam.ac.uk/cgi/oai2,684,3280,ESC Publications - Cambridge Univesity,yes,yes,,,cam,http://eprints.esc.cam.ac.uk,,EPrints 3.3.16,eprints,rioxx,2015-08-17T17:13:26+01:00,"{'countryCode': 'GB', 'latitude': 52.204266, 'longitude': 0.1149084}",https://api.core.ac.uk/data-providers/684/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
orca.cardiff.ac.uk/cgi/oai2,83,55,Online Research @ Cardiff,yes,yes,openaccess@cardiff.ac.uk,,cardiff,https://orca.cardiff.ac.uk/,,eprints,eprints,rioxx,2011-05-27T18:07:53+01:00,"{'countryCode': 'GB', 'latitude': 51.486198, 'longitude': -3.178902}",https://api.core.ac.uk/data-providers/83/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
dro.dur.ac.uk/cgi/oai2,33,,Durham Research Online,yes,yes,dro.admin@durham.ac.uk,,dur,https://dro.dur.ac.uk,,eprints,eprints,oai_dc,2011-05-14T20:00:53+01:00,"{'countryCode': 'gb', 'latitude': 54.7667, 'longitude': -1.5667}",https://api.core.ac.uk/data-providers/33/logo,REPOSITORY,,No,28313,No error,0,No direct software search capability,
eprints.gla.ac.uk/cgi/oai2,42,162,Enlighten,yes,yes,william.nixon@glasgow.ac.uk,,gla,http://eprints.gla.ac.uk,,eprints,eprints,rioxx,2011-05-13T09:01:21+01:00,"{'countryCode': 'GB', 'latitude': 55.87329, 'longitude': -4.2889}",https://api.core.ac.uk/data-providers/42/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
researchdata.gla.ac.uk/cgi/oai2,14433,,Enlighten: Research Data (University of Glasgow),yes,yes,,,gla,http://researchdata.gla.ac.uk,,Eprints 3,eprints,oai_dc,2019-09-23T00:00:00+01:00,"{'countryCode': 'GB', 'latitude': None, 'longitude': None}",https://api.core.ac.uk/data-providers/14433/logo,REPOSITORY,,No,0,BadVerbError,117,Contains software,Search types for �software� and �code�
eprint.ncl.ac.uk/oai/,252,225,Newcastle University E-Prints,yes,yes,openaccess@ncl.ac.uk,,ncl,https://eprint.ncl.ac.uk/,,eprints,eprints,oai_dc,2012-10-09T18:05:04+01:00,"{'countryCode': 'GB', 'latitude': 54.9792, 'longitude': -1.6147}",https://api.core.ac.uk/data-providers/252/logo,REPOSITORY,,No sets,0,BadVerbError,0,No direct software search capability,No software search item
eprints.nottingham.ac.uk/cgi/oai2,80,226,Nottingham ePrints,yes,yes,eprints@nottingham.ac.uk,,nottingham,http://eprints.nottingham.ac.uk,,eprints,eprints,rioxx,2011-07-07T16:03:40+01:00,"{'countryCode': 'GB', 'latitude': 52.9382, 'longitude': -1.1712}",https://api.core.ac.uk/data-providers/80/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
oro.open.ac.uk/cgi/oai2,86,,Open Research Online,no,yes,library-research-support@open.ac.uk,,open,http://oro.open.ac.uk,,eprints,eprints,rioxx,2011-05-06T11:11:21+01:00,"{'countryCode': 'gb', 'latitude': 52.0333, 'longitude': -0.7}",https://api.core.ac.uk/data-providers/86/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
centaur.reading.ac.uk/cgi/oai2,17,1731,Central Archive at the University of Reading,no,yes,centaur@reading.ac.uk,,reading,http://centaur.reading.ac.uk,,eprints,eprints,rioxx,2011-05-12T14:42:02+01:00,"{'countryCode': 'GB', 'latitude': 51.4392, 'longitude': -0.9197}",https://api.core.ac.uk/data-providers/17/logo,REPOSITORY,,No,0,BadVerbError,0,No direct software search capability,No software search item
researchdata.reading.ac.uk/cgi/oai2,2298,3757,University of Reading Research Data Archive,no,yes,,,reading,https://researchdata.reading.ac.uk,,EPrints 3.3.16,eprints,oai_dc,2016-11-08T12:29:03+00:00,"{'countryCode': 'GB', 'latitude': 51.4392, 'longitude': -0.9197}",https://api.core.ac.uk/data-providers/2298/logo,REPOSITORY,,No,0,No error,5,Contains software,
www.edshare.soton.ac.uk/cgi/oai2,167,1636,EdShare,no,yes,,,soton,http://www.edshare.soton.ac.uk,,eprints,eprints,oai_dc,2012-06-08T17:03:41+01:00,"{'countryCode': 'GB', 'latitude': 50.9342, 'longitude': -1.3957}",https://api.core.ac.uk/data-providers/167/logo,REPOSITORY,,No sets,0,BadVerbError,0,No direct software search capability,"No software search item. Does include software license search, which gives 7 results- none research software."
eprints.soton.ac.uk/cgi/oai2,34,348,e-Prints Soton,no,yes,eprints@soton.ac.uk,,soton,https://eprints.soton.ac.uk,,eprints,eprints,rioxx,2011-06-18T14:32:59+01:00,"{'countryCode': 'GB', 'latitude': 50.9342, 'longitude': -1.3957}",https://api.core.ac.uk/data-providers/34/logo,REPOSITORY,,No,13,No error,13,Contains software,
discovery.ucl.ac.uk/cgi/oai2,118,,UCL Discovery,yes,yes,open-access@ucl.ac.uk,,ucl,http://discovery.ucl.ac.uk,,eprints,eprints,oai_dc,2011-07-07T16:12:10+01:00,"{'countryCode': 'gb', 'latitude': 51.5241, 'longitude': -0.1329}",https://api.core.ac.uk/data-providers/118/logo,REPOSITORY,,No,0,BadVerbError,7,Contains software,"UCL has software type on webpage, but no software set"
etheses.whiterose.ac.uk/cgi/oai2,139,1407,White Rose E-theses Online,yes,yes,etheses@whiterose.ac.uk,,whiterose,http://etheses.whiterose.ac.uk,,eprints,eprints,oai_dc,2011-07-04T16:54:46+01:00,"{'countryCode': 'GB', 'latitude': 53.80849, 'longitude': -1.5528}",https://api.core.ac.uk/data-providers/139/logo,REPOSITORY,,No,0,BadVerbError,0,No direct software search capability,No software search item
eprints.whiterose.ac.uk/cgi/oai2,140,,White Rose Research Online,yes,yes,eprints@whiterose.ac.uk,,whiterose,http://eprints.whiterose.ac.uk,,eprints,eprints,rioxx,2011-05-22T16:37:21+01:00,"{'countryCode': 'gb', 'latitude': 53.9477, 'longitude': -1.04984}",https://api.core.ac.uk/data-providers/140/logo,REPOSITORY,,No,0,BadVerbError,0,No direct software search capability,"No software search item. Whiterose represents Leeds, Sheffield and York.  York has Pure."
repository.alt.ac.uk/cgi/oai2,5,,ALT Open Access Repository,no,no,repository@alt.ac.uk,,alt,http://repository.alt.ac.uk,,eprints,eprints,oai_dc,2011-05-11T14:57:33+01:00,"{'countryCode': 'gb', 'latitude': 51.7549, 'longitude': -1.22309}",https://api.core.ac.uk/data-providers/5/logo,REPOSITORY,,No,0,BadVerbError,0,No direct software search capability,No software search item
arro.anglia.ac.uk/cgi/oai2,6,1850,Anglia Ruskin Research Online,no,no,arro@anglia.ac.uk,,anglia,https://arro.anglia.ac.uk,,eprints,eprints,rioxx,2011-05-09T22:15:53+01:00,"{'countryCode': 'GB', 'latitude': 51.7413, 'longitude': 0.4743}",https://api.core.ac.uk/data-providers/6/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
publications.aston.ac.uk/cgi/oai2,7,1552,Aston Publications Explorer,no,no,openaccess@aston.ac.uk,,aston,http://publications.aston.ac.uk,,eprints,eprints,rioxx,2011-05-12T18:06:54+01:00,"{'countryCode': 'GB', 'latitude': 52.4862, 'longitude': -1.8896}",https://api.core.ac.uk/data-providers/7/logo,REPOSITORY,,No,0,BadVerbError,0,No direct software search capability,No software search item
researchspace.bathspa.ac.uk/cgi/oai2,686,2694,ResearchSPace - Bath Spa University,no,no,researchspace@bathspa.ac.uk,,bathspa,http://researchspace.bathspa.ac.uk,,Eprints,eprints,rioxx,2015-08-18T11:27:56+01:00,"{'countryCode': 'GB', 'latitude': 51.375899, 'longitude': -2.43866}",https://api.core.ac.uk/data-providers/686/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
eprints.bbk.ac.uk/cgi/oai2,8,30,Birkbeck Institutional Research Online,no,no,lib-eprints@bbk.ac.uk,,bbk,https://eprints.bbk.ac.uk,,eprints,eprints,rioxx,2011-05-12T18:08:27+01:00,"{'countryCode': 'GB', 'latitude': 51.521515, 'longitude': -0.129308}",https://api.core.ac.uk/data-providers/8/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
bcu.eprints-hosting.org/cgi/oai2,14803,3870,Birmingham City University Open Access Repository,no,no,,,bcu,,,EPrints 3.4.0,eprints,oai_dc,2019-11-25T15:27:47+00:00,"{'countryCode': 'gb', 'latitude': 52.4822, 'longitude': -1.88861}",https://api.core.ac.uk/data-providers/14803/logo,REPOSITORY,,No,0,,0,No direct software search capability,No software search item
www.open-access.bcu.ac.uk/cgi/oai2,2583,4167,BCU Open Access,no,no,Gemma.Tonks@bcu.ac.uk,,bcu,https://www.open-access.bcu.ac.uk/,,EPrints 3.4.0,eprints,oai_dc,2017-04-10T00:05:46+01:00,"{'countryCode': 'GB', 'latitude': None, 'longitude': None}",https://api.core.ac.uk/data-providers/2583/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
bgro.repository.guildhe.ac.uk/cgi/oai2,1052,3650,BG Research Online,no,no,rachel.stewart@bishopg.ac.uk,,bgro,https://bgro.repository.guildhe.ac.uk,,eprints,eprints,rioxx,2016-10-28T11:02:58+01:00,"{'countryCode': 'GB', 'latitude': 53.24382259999999, 'longitude': -0.5364247}",https://api.core.ac.uk/data-providers/1052/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
sprite.bolton.ac.uk/cgi/oai2,623,1156,University of Bolton Institutional Repository,no,no,ubir@bolton.ac.uk,,bolton,http://sprite.bolton.ac.uk,,EPrints 3.3.14,eprints,oai_dc,2014-03-03T17:06:54+00:00,"{'countryCode': 'GB', 'latitude': 53.5735, 'longitude': -2.4364}",https://api.core.ac.uk/data-providers/623/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
eprints.bournemouth.ac.uk/cgi/oai2,9,1076,Bournemouth University Research Online,no,no,BURO@bournemouth.ac.uk,,bournemouth,http://eprints.bournemouth.ac.uk,,eprints,eprints,rioxx,2011-05-10T19:46:10+01:00,"{'countryCode': 'GB', 'latitude': 50.742979, 'longitude': -1.897168}",https://api.core.ac.uk/data-providers/9/logo,REPOSITORY,,No,42,No error,2,Contains software,
bear.buckingham.ac.uk/cgi/oai2?verb=identify,704,3435,BEAR (Buckingham E-Archive of Research),no,no,,,buckingham,http://bear.buckingham.ac.uk,,EPrints 3.3.16,eprints,oai_dc,2015-11-16T17:31:06+00:00,"{'countryCode': 'GB', 'latitude': 51.9993, 'longitude': -0.9876}",https://api.core.ac.uk/data-providers/704/logo,REPOSITORY,,No,0,No error,0,Does not contain software,
bucks.repository.guildhe.ac.uk/cgi/oai2,13623,9175,Bucks New University: Bucks Knowledge Archive,no,no,,,bucks,https://bucks.repository.guildhe.ac.uk,,Eprints 3,eprints,oai_dc,2019-09-23T00:00:00+01:00,"{'countryCode': 'GB', 'latitude': 51.6205, 'longitude': -0.7386}",https://api.core.ac.uk/data-providers/13623/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
repository.canterbury.ac.uk/oai2,164,2172,Canterbury Research and Theses Environment,no,no,create.library@canterbury.ac.uk,,canterbury,http://create.canterbury.ac.uk,,eprints,eprints,rioxx,2012-06-08T17:05:38+01:00,"{'countryCode': 'GB', 'latitude': 51.2796, 'longitude': 1.0894}",https://api.core.ac.uk/data-providers/164/logo,REPOSITORY,,No,0,OAI XML Syntax error,0,Does not contain software,
cedadocs.ceda.ac.uk/cgi/oai2,,,,no,no,,,ceda,,,EPrints 3.3.16,eprints,,,,,,,No,0,,0,No direct software search capability,
eprints.chi.ac.uk/cgi/oai2,,,,no,no,,,chi,,,EPrints 3.3.12,eprints,,,,,,,No,0,,0,No direct software search capability,
eprints.chi.ac.uk/cgi/oai2/,356,2701,University of Chichester EPrints Repository,no,no,eprint@chi.ac.uk,,chi/,http://eprints.chi.ac.uk,,eprints,eprints,rioxx,2013-07-10T13:02:25+01:00,"{'countryCode': 'GB', 'latitude': 50.8443, 'longitude': -0.7744}",https://api.core.ac.uk/data-providers/356/logo,REPOSITORY,,No sets,0,BadVerbError,0,No direct software search capability,No software search item
openaccess.city.ac.uk/cgi/oai2,146,,City Research Online,no,no,publications@city.ac.uk,,city,https://openaccess.city.ac.uk,,eprints,eprints,rioxx,2012-04-23T13:03:18+01:00,"{'countryCode': 'gb', 'latitude': 51.528, 'longitude': -0.1031}",https://api.core.ac.uk/data-providers/146/logo,REPOSITORY,,Yes,10,No error,9,Contains software,
crco.cssd.ac.uk/cgi/oai2/,353,2699,Central Research and Creativity Online - Royal Central School of Speech and Drama,no,no,,,cssd/,http://crco.cssd.ac.uk,,eprints,eprints,oai_dc,2013-07-10T12:57:54+01:00,"{'countryCode': 'GB', 'latitude': 51.5443, 'longitude': -0.1742}",https://api.core.ac.uk/data-providers/353/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
insight.cumbria.ac.uk/cgi/oai2,685,1675,Insight - University of Cumbria,no,no,insight@cumbria.ac.uk,,cumbria,http://insight.cumbria.ac.uk,,EPrints 3.4.2,eprints,rioxx,2015-08-18T11:27:50+01:00,"{'countryCode': 'GB', 'latitude': 54.890876, 'longitude': -2.922234}",https://api.core.ac.uk/data-providers/685/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
repository.essex.ac.uk/cgi/oai2,176,2409,University of Essex Research Repository,no,no,repository@essex.ac.uk,,essex,http://repository.essex.ac.uk,,eprints,eprints,oai_dc,2012-06-11T08:53:22+01:00,"{'countryCode': 'GB', 'latitude': 51.8766, 'longitude': 0.945}",https://api.core.ac.uk/data-providers/176/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
repository.falmouth.ac.uk/cgi/oai2,649,3261,Falmouth University Research Repository (FURR),no,no,repository@falmouth.ac.uk,,falmouth,http://repository.falmouth.ac.uk,,eprints,eprints,rioxx,2015-01-20T12:11:28+00:00,"{'countryCode': 'GB', 'latitude': 50.171084, 'longitude': -5.123619}",https://api.core.ac.uk/data-providers/649/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
edshare.gcu.ac.uk/cgi/oai2,14456,,edShare@GCU (Glasgow Caledonian University),no,no,librarysystems@gcu.ac.uk,,gcu,https://edshare.gcu.ac.uk,,Eprints 3,eprints,oai_dc,2019-09-23T00:00:00+01:00,"{'countryCode': 'GB', 'latitude': 55.86607, 'longitude': -4.250826}",https://api.core.ac.uk/data-providers/14456/logo,REPOSITORY,,No sets,0,No error,0,No direct software search capability,
eprints.glos.ac.uk/cgi/oai2,680,3160,University of Gloucestershire Research Repository,no,no,eprints@glos.ac.uk,,glos,http://eprints.glos.ac.uk,,eprints,eprints,rioxx,2015-06-30T12:40:25+01:00,"{'countryCode': 'GB', 'latitude': 51.886822, 'longitude': -2.089033}",https://api.core.ac.uk/data-providers/680/logo,REPOSITORY,,Yes,0,BadVerbError,4,Contains software,Software type
glyndwr.repository.guildhe.ac.uk/cgi/oai2,49,1603,Glynd?r University Research Online,no,no,repository@glyndwr.ac.uk,,glyndwr,https://glyndwr.repository.guildhe.ac.uk/,,Eprints 3,eprints,rioxx,2011-05-12T20:43:39+01:00,"{'countryCode': 'GB', 'latitude': 53.053, 'longitude': -3.0056}",https://api.core.ac.uk/data-providers/49/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
